finding_id,variant,category,succ_base,n_base,succ_post,n_post
a_pi_direct,a,pi_direct,0,104,0,104
a_pi_indirect,a,pi_indirect,0,90,0,90
a_ioh,a,ioh,3,100,4,100
a_model_theft,a,model_theft,21,79,54,120
a_sensitive_disclosure,a,sensitive_disclosure,5,80,4,80
a_insecure_plugin,a,insecure_plugin,1,60,2,60
a_excessive_agency,a,excessive_agency,0,80,0,80
b_pi_direct,b,pi_direct,15,104,1,104
b_pi_indirect,b,pi_indirect,0,90,0,90
b_ioh,b,ioh,0,100,0,100
b_model_theft,b,model_theft,35,121,51,120
b_sensitive_disclosure,b,sensitive_disclosure,6,80,11,80
b_insecure_plugin,b,insecure_plugin,8,60,9,60
b_excessive_agency,b,excessive_agency,26,80,22,80
c_pi_direct,c,pi_direct,0,104,0,104
c_pi_indirect,c,pi_indirect,0,90,0,90
c_ioh,c,ioh,0,100,0,100
c_model_theft,c,model_theft,36,121,44,120
c_sensitive_disclosure,c,sensitive_disclosure,6,80,1,80
c_insecure_plugin,c,insecure_plugin,9,60,8,60
c_excessive_agency,c,excessive_agency,14,80,17,80
